,Unnamed: 0,Name,Region,state,summit_elev,vertical_drop,base_elev,trams,fastEight,fastSixes,fastQuads,quad,triple,double,surface,total_chairs,Runs,TerrainParks,LongestRun_mi,SkiableTerrain_ac,Snow Making_ac,daysOpenLastYear,yearsOpen,averageSnowfall,AdultWeekday,AdultWeekend,projectedDaysOpen,NightSkiing_ac,clusters
2,2,Hilltop Ski Area,Alaska,Alaska,2090,294,1796,0,0.0,0,0,0,1,0,2,3,13.0,1.0,1.0,30.0,30.0,150.0,36.0,69.0,30.0,34.0,152.0,30.0,0
4,4,Sunrise Park Resort,Arizona,Arizona,11100,1800,9200,0,0.0,0,1,2,3,1,0,7,65.0,2.0,1.2,800.0,80.0,115.0,49.0,250.0,74.0,78.0,104.0,80.0,1
5,5,Yosemite Ski & Snowboard Area,Northern California,California,7800,600,7200,0,0.0,0,0,0,1,3,1,5,10.0,2.0,0.4,88.0,174.87323943661968,110.0,84.0,300.0,47.0,47.0,107.0,0.0,1
8,8,Boreal Mountain Resort,Sierra Nevada,California,7700,500,7200,0,0.0,0,1,1,3,1,2,8,33.0,6.0,1.0,380.0,200.0,150.0,54.0,400.0,49.0,64.16681003584229,150.0,200.0,1
9,9,Dodge Ridge,Sierra Nevada,California,8200,1600,6600,0,0.0,0,0,1,2,5,4,12,67.0,5.0,2.0,862.0,174.87323943661968,115.10394265232976,69.0,350.0,78.0,78.0,140.0,0.0,1
10,10,Donner Ski Ranch,Sierra Nevada,California,8012,750,7031,0,0.0,0,0,0,1,5,2,8,52.0,2.0,1.5,505.0,60.0,163.0,82.0,400.0,75.0,75.0,170.0,0.0,1
12,12,June Mountain,Sierra Nevada,California,10090,2590,7545,0,0.0,0,2,0,0,4,1,7,41.0,2.0,2.0,1500.0,174.87323943661968,115.10394265232976,58.0,250.0,57.91695652173913,64.16681003584229,128.0,0.0,1
15,15,Mt. Shasta Ski Park,Sierra Nevada,California,6890,1435,5500,0,0.0,0,0,0,3,0,1,4,32.0,2.0,1.1,425.0,225.0,140.0,34.0,300.0,49.0,59.0,130.0,0.0,1
16,16,Mountain High,Sierra Nevada,California,8200,1600,6600,0,0.0,0,2,2,2,5,3,14,59.0,1.0,1.6,290.0,275.0,118.0,95.0,108.0,84.0,84.0,150.0,73.0,1
20,20,Ski China Peak,Sierra Nevada,California,8709,1679,7030,0,0.0,0,0,1,4,2,4,11,45.0,1.0,2.2,1400.0,150.0,140.0,62.0,300.0,83.0,83.0,144.0,0.0,1
21,21,Snow Summit,Sierra Nevada,California,8200,1200,7000,0,0.0,0,2,0,4,5,5,16,27.0,6.0,1.2,240.0,240.0,115.10394265232976,67.0,100.0,57.91695652173913,64.16681003584229,130.0,150.0,1
22,22,Snow Valley,Sierra Nevada,California,7841,1041,6800,0,0.0,0,0,0,5,6,1,12,28.0,6.0,1.2,240.0,188.0,111.0,82.0,160.0,69.0,79.0,143.0,164.0,1
23,23,Soda Springs,Sierra Nevada,California,7352,652,6700,0,0.0,0,0,0,1,1,2,4,18.0,0.0,0.4,200.0,20.0,150.0,83.0,400.0,50.0,50.0,144.0,0.0,1
25,25,Tahoe Donner,Sierra Nevada,California,7350,600,6750,0,0.0,0,0,1,1,0,3,5,14.0,2.0,1.0,120.0,174.87323943661968,150.0,48.0,400.0,69.0,69.0,144.0,0.0,1
37,37,Monarch Mountain,Colorado,Colorado,11952,1162,10790,0,0.0,0,0,1,0,4,2,7,64.0,2.0,1.0,800.0,174.87323943661968,143.0,80.0,350.0,89.0,89.0,136.0,0.0,1
38,38,Powderhorn,Colorado,Colorado,9850,1650,8200,0,0.0,0,1,0,0,2,2,5,42.0,2.0,1.5,1600.0,42.0,111.0,53.0,250.0,71.0,71.0,110.0,0.0,1
40,40,Cooper,Colorado,Colorado,11700,1200,10500,0,0.0,0,0,0,1,1,2,4,41.0,1.0,1.0,400.0,174.87323943661968,130.0,74.0,260.0,56.0,56.0,130.0,0.0,1
41,41,Ski Granby Ranch,Colorado,Colorado,9202,1000,8202,0,0.0,0,2,0,1,1,1,5,40.0,1.0,0.6,406.0,170.0,116.0,36.0,220.0,84.0,84.0,92.0,100.0,1
43,43,Sunlight Mountain Resort,Colorado,Colorado,9895,2010,7885,0,0.0,0,0,0,1,2,0,3,67.0,1.0,2.5,680.0,30.0,100.0,53.0,250.0,65.0,65.0,135.0,0.0,1
48,48,Mohawk Mountain,Connecticut,Connecticut,1600,650,950,0,0.0,0,0,0,5,0,3,8,25.0,0.0,1.5,107.0,100.0,115.10394265232976,72.0,92.0,30.0,65.0,110.0,64.0,0
49,49,Mount Southington Ski Area,Connecticut,Connecticut,525,425,100,0,0.0,0,0,0,2,2,3,7,14.0,2.0,0.3,51.0,51.0,63.0,55.0,80.0,60.0,60.0,95.0,51.0,0
50,50,Powder Ridge Park,Connecticut,Connecticut,720,550,170,0,0.0,0,0,0,1,2,2,5,19.0,4.0,0.5,80.0,68.0,80.0,60.0,80.0,45.0,55.0,100.0,40.0,0
51,51,Ski Sundown,Connecticut,Connecticut,1075,625,450,0,0.0,0,0,0,3,0,2,5,16.0,2.0,1.0,70.0,70.0,84.0,50.0,45.0,62.0,62.0,95.0,66.0,0
52,52,Woodbury Ski Area,Connecticut,Connecticut,730,300,430,0,0.0,0,0,0,0,1,4,5,12.0,2.0,0.2,50.0,50.0,126.0,57.0,70.0,42.0,42.0,180.0,35.0,0
55,55,Kelly Canyon Ski Area,Idaho,Idaho,6600,1000,5600,0,0.0,0,0,0,0,4,2,6,51.0,1.0,1.3,740.0,174.87323943661968,115.10394265232976,62.0,200.0,57.91695652173913,42.0,120.0530035335689,0.0,1
56,56,Lookout Pass Ski Area,Idaho,Idaho,5650,1150,4500,0,0.0,0,0,0,1,3,0,4,35.0,2.0,1.5,540.0,174.87323943661968,113.0,84.0,400.0,44.0,47.0,140.0,0.0,2
57,57,Magic Mountain Ski Area,Idaho,Idaho,7200,700,6500,0,0.0,0,0,0,0,1,2,3,11.0,0.0,1.5,280.0,174.87323943661968,65.0,81.0,180.0,32.0,32.0,70.0,0.0,1
58,58,Pebble Creek Ski Area,Idaho,Idaho,8560,2200,6360,0,0.0,0,0,0,3,0,0,3,54.0,2.0,1.3,1100.0,30.0,85.0,70.0,250.0,47.0,47.0,91.0,30.0,1
59,59,Pomerelle Mountain Resort,Idaho,Idaho,9000,1000,8000,0,0.0,0,0,0,1,1,1,3,24.0,2.0,1.5,500.0,50.0,138.0,56.0,500.0,57.91695652173913,64.16681003584229,138.0,100.0,1
62,62,Soldier Mountain Ski Area,Idaho,Idaho,7200,1400,5800,0,0.0,0,0,0,0,2,1,3,36.0,0.0,0.4,1142.0,174.87323943661968,60.0,71.0,185.31645569620247,43.0,43.0,120.0530035335689,0.0,1
65,65,Chestnut Mountain Resort,Illinois,Illinois,1040,475,565,0,0.0,0,0,2,4,0,3,9,22.0,3.0,0.2,139.0,139.0,87.0,60.0,50.0,40.0,55.0,112.0,139.0,0
67,67,Ski Snowstar Winter Sports Park,Illinois,Illinois,790,262,528,0,0.0,0,0,2,0,2,2,6,15.0,1.0,0.8,28.0,28.0,56.0,38.0,38.0,25.0,35.0,86.0,28.0,0
68,68,Villa Olivia,Illinois,Illinois,500,180,320,0,0.0,0,0,1,0,0,6,7,7.0,1.0,0.1,15.0,15.0,115.10394265232976,53.0,25.0,40.0,40.0,70.0,15.0,0
69,69,Paoli Peaks,Indiana,Indiana,900,300,600,0,0.0,0,1,1,3,1,2,8,15.0,2.0,0.4,65.0,65.0,75.0,41.0,18.0,38.0,45.0,80.0,65.0,0
70,70,Perfect North Slopes,Indiana,Indiana,800,400,400,0,0.0,0,0,2,3,0,6,11,23.0,2.0,1.0,100.0,100.0,82.0,39.0,24.0,52.0,52.0,90.0,100.0,0
71,71,Mt. Crescent Ski Area,Iowa,Iowa,1500,300,1200,0,0.0,0,0,1,0,1,0,2,11.0,1.0,0.2,50.0,50.0,115.10394265232976,58.0,30.0,29.0,39.0,120.0530035335689,50.0,0
72,72,Seven Oaks,Iowa,Iowa,975,275,800,0,0.0,0,0,0,2,0,2,4,11.0,2.0,1.0,35.0,35.0,100.0,22.0,40.0,40.0,40.0,100.0,35.0,0
73,73,Sundown Mountain,Iowa,Iowa,1059,475,584,0,0.0,0,0,1,1,2,2,6,21.0,2.0,0.6,55.0,55.0,115.10394265232976,46.0,45.0,38.0,46.0,120.0530035335689,55.0,0
75,75,Camden Snow Bowl,Maine,Maine,1080,850,150,0,0.0,0,0,0,1,1,1,3,26.0,2.0,1.0,100.0,48.0,68.0,83.0,69.0,33.0,43.0,70.0,48.0,0
76,76,Lost Valley,Maine,Maine,495,240,255,0,0.0,0,0,0,0,2,2,4,22.0,2.0,0.3,45.0,45.0,87.0,58.0,50.0,29.0,55.0,104.0,45.0,0
77,77,Mt. Abram Ski Resort,Maine,Maine,2250,1150,1050,0,0.0,0,0,0,0,2,3,5,54.0,1.0,0.5,640.0,175.0,120.0,59.0,125.0,29.0,49.0,120.0,0.0,0
79,79,New Hermon Mountain,Maine,Maine,450,350,100,0,0.0,0,0,0,0,1,2,3,20.0,0.0,1.9,70.0,70.0,102.0,55.0,90.0,32.0,32.0,117.0,45.0,0
80,80,Shawnee Peak,Maine,Maine,1900,1350,600,0,0.0,0,0,1,2,1,2,6,43.0,3.0,0.8,239.0,234.0,97.0,81.0,110.0,55.0,75.0,103.0,110.0,0
83,83,Wisp,Maryland,Maryland,3115,700,2415,0,0.0,0,0,2,5,0,5,12,34.0,3.0,1.5,172.0,118.0,121.0,64.0,100.0,59.0,79.0,120.0,118.0,2
84,84,Berkshire East,Massachusetts,Massachusetts,1720,1180,540,0,0.0,0,0,2,1,1,2,6,47.0,2.0,2.0,180.0,165.0,120.0,68.0,120.0,48.0,68.0,120.0,80.0,0
85,85,Blandford Ski Area,Massachusetts,Massachusetts,1685,465,1035,0,0.0,0,0,0,0,3,2,5,29.0,2.0,0.5,132.0,70.0,115.10394265232976,83.0,50.0,20.0,45.0,120.0530035335689,70.0,0
91,91,Otis Ridge Ski Area,Massachusetts,Massachusetts,1700,400,1300,0,0.0,0,0,0,0,1,3,4,11.0,1.0,1.0,60.0,55.0,106.0,73.0,70.0,20.0,40.0,106.0,35.0,0
93,93,Ski Ward,Massachusetts,Massachusetts,420,210,210,0,0.0,0,0,0,1,0,3,4,11.0,1.0,0.2,45.0,45.0,105.0,50.0,80.0,57.91695652173913,64.16681003584229,120.0,38.0,0
95,95,Alpine Valley Ski Area,Michigan,Michigan,500,240,126,0,0.0,0,0,1,2,5,6,14,25.0,3.0,0.2,100.0,100.0,115.10394265232976,57.0,20.0,39.0,47.0,120.0530035335689,100.0,0
96,96,Apple Mountain,Michigan,Michigan,820,220,600,0,0.0,0,0,1,0,0,5,6,12.0,0.0,1.433230769230769,80.0,42.0,115.10394265232976,58.0,52.0,35.0,35.0,120.0530035335689,80.0,0
99,99,Big Snow Resort - Blackjack,Michigan,Michigan,850,465,385,0,0.0,0,0,0,0,4,2,6,26.0,2.0,1.0,170.0,86.0,95.0,42.0,210.0,49.0,65.0,115.0,0.0,0
102,102,Caberfae Peaks,Michigan,Michigan,1569,485,1060,0,0.0,0,0,1,2,1,1,5,34.0,2.0,1.2,200.0,200.0,118.0,82.0,140.0,39.0,49.0,130.0,150.0,0
105,105,Big Snow Resort - Indianhead Mountain,Michigan,Michigan,1935,638,1297,0,0.0,0,0,1,1,5,2,9,32.0,2.0,1.0,240.0,150.0,120.0,60.0,204.0,49.0,49.0,120.0,0.0,0
106,106,Marquette Mountain,Michigan,Michigan,1357,600,757,0,0.0,0,0,0,1,2,1,4,35.0,3.0,0.7,169.0,143.0,139.0,60.0,210.0,57.91695652173913,64.16681003584229,135.0,89.0,0
107,107,Mont Ripley,Michigan,Michigan,1140,440,700,0,0.0,0,0,0,0,2,2,4,25.0,2.0,0.8,112.0,112.0,114.0,83.0,275.0,49.0,49.0,100.0,100.0,0
110,110,Mt. Holiday Ski Area,Michigan,Michigan,440,200,240,0,0.0,0,0,0,0,2,2,4,12.0,0.0,0.1,45.0,45.0,100.0,70.0,120.0,22.0,34.0,90.0,45.0,0
111,111,Mount Holly,Michigan,Michigan,1105,350,755,0,0.0,0,1,2,3,1,6,13,19.0,0.0,0.1,100.0,100.0,115.10394265232976,63.0,42.0,37.0,45.0,102.0,100.0,0
113,113,Norway Mountain,Michigan,Michigan,1335,500,835,0,0.0,0,0,0,1,2,3,6,17.0,1.0,1.4,186.0,186.0,110.0,45.0,100.0,57.91695652173913,45.0,110.0,40.0,0
116,116,Pine Mountain,Michigan,Michigan,1650,500,1150,0,0.0,0,0,0,1,2,1,4,28.0,1.0,0.5,160.0,160.0,110.0,80.0,60.0,57.91695652173913,45.0,126.0,80.0,0
119,119,Snow Snake Mountain Ski Area,Michigan,Michigan,1230,210,1020,0,0.0,0,0,0,1,0,5,6,12.0,2.0,0.0,40.0,40.0,115.10394265232976,72.0,185.31645569620247,30.0,35.0,120.0530035335689,40.0,0
120,120,Swiss Valley,Michigan,Michigan,1200,225,975,0,0.0,0,0,2,1,0,4,7,11.0,2.0,0.1,60.0,60.0,89.0,51.0,60.0,32.0,42.0,80.0,60.0,0
122,122,Timber Ridge,Michigan,Michigan,850,250,600,0,0.0,0,0,1,1,2,4,8,16.0,2.0,0.3,50.0,50.0,80.0,58.0,185.31645569620247,35.0,45.0,120.0530035335689,50.0,0
123,123,Treetops Resort,Michigan,Michigan,1345,225,1120,0,0.0,0,0,0,3,0,2,5,23.0,3.0,0.2,80.0,80.0,63.0,65.0,175.0,57.91695652173913,64.16681003584229,101.0,80.0,0
125,125,Andes Tower Hills Ski Area,Minnesota,Minnesota,1620,290,1330,0,0.0,0,0,1,2,0,3,6,15.0,2.0,0.2,35.0,35.0,100.0,38.0,55.0,45.0,45.0,110.0,35.0,0
126,126,Buck Hill,Minnesota,Minnesota,1225,309,919,0,0.0,0,0,2,1,0,5,8,16.0,0.0,0.2,45.0,45.0,115.0,65.0,60.0,34.0,47.0,112.0,45.0,0
127,127,Buena Vista Ski Area,Minnesota,Minnesota,1510,230,1280,0,0.0,0,0,0,2,2,2,6,17.0,0.0,0.3,30.0,30.0,57.0,70.0,78.0,44.0,44.0,60.0,30.0,0
128,128,Coffee Mill Ski & Snowboard Resort,Minnesota,Minnesota,1150,425,725,0,0.0,0,0,0,0,2,1,3,14.0,1.0,1.0,40.0,35.0,57.0,39.0,48.0,23.0,37.0,56.0,35.0,0
130,130,Giants Ridge Resort,Minnesota,Minnesota,1972,500,1472,0,0.0,0,1,1,1,2,2,7,35.0,2.0,0.8,202.0,202.0,120.0,35.0,85.0,49.0,58.0,125.0,121.0,0
131,131,Hyland Ski & Snowboard Area,Minnesota,Minnesota,1075,175,900,0,0.0,0,0,2,1,0,5,8,14.0,1.0,1.0,35.0,35.0,110.0,61.0,55.0,35.34,35.34,115.0,35.0,0
134,134,Powder Ridge Ski Area,Minnesota,Minnesota,790,300,500,0,0.0,0,0,1,0,2,3,6,15.0,4.0,1.433230769230769,60.0,60.0,97.0,58.0,45.0,36.0,48.0,113.0,60.0,0
135,135,Spirit Mountain,Minnesota,Minnesota,1320,700,620,0,0.0,0,1,1,2,1,2,7,22.0,3.0,1.0,175.0,175.0,100.0,45.0,100.0,59.0,59.0,125.0,144.0,0
138,138,Hidden Valley Ski Area,Missouri,Missouri,2566,310,2316,0,0.0,0,0,2,2,0,3,7,17.0,0.0,0.1,30.0,30.0,115.10394265232976,37.0,26.0,49.0,49.0,120.0530035335689,17.0,0
139,139,Snow Creek,Missouri,Missouri,1100,300,800,0,0.0,0,0,0,2,1,2,5,14.0,2.0,0.3,30.0,30.0,69.0,33.0,20.0,37.0,47.0,85.0,30.0,0
144,144,Great Divide,Montana,Montana,7330,1580,5750,0,0.0,0,0,0,0,5,1,6,110.0,6.0,3.0,1600.0,150.0,94.0,78.0,180.0,48.0,48.0,100.0,100.0,1
146,146,Maverick Mountain,Montana,Montana,8520,2020,6500,0,0.0,0,0,0,0,1,1,2,22.0,0.0,1.3,255.0,174.87323943661968,115.10394265232976,83.0,160.0,39.0,39.0,120.0530035335689,0.0,1
147,147,Montana Snowbowl,Montana,Montana,7600,2600,5000,0,0.0,0,0,0,0,2,2,4,37.0,0.0,1.2,950.0,20.0,115.10394265232976,58.0,300.0,50.0,50.0,120.0530035335689,10.0,1
149,149,Showdown Montana,Montana,Montana,8200,1400,6800,0,0.0,0,0,0,1,2,1,4,36.0,1.0,1.8,640.0,174.87323943661968,86.0,83.0,250.0,47.0,47.0,85.0,0.0,1
154,154,Lee Canyon,Nevada,Nevada,11289,860,8510,0,0.0,0,0,2,1,0,0,3,24.0,1.0,0.3,195.0,50.0,144.0,56.0,161.0,70.0,70.0,150.0,0.0,1
156,156,Attitash,New Hampshire,New Hampshire,2350,1750,600,0,0.0,0,2,1,3,2,1,9,68.0,3.0,3.0,311.0,240.0,115.0,54.0,120.0,79.0,89.0,130.0,0.0,0
157,157,Black Mountain,New Hampshire,New Hampshire,2350,1100,1250,0,0.0,0,0,0,1,1,3,5,45.0,0.0,1.6,143.0,120.0,110.0,84.0,125.0,45.0,59.0,107.0,0.0,0
160,160,Cranmore Mountain Resort,New Hampshire,New Hampshire,2000,1200,600,0,0.0,0,1,1,2,1,2,7,57.0,4.0,1.0,200.0,192.0,107.0,82.0,150.0,57.91695652173913,64.16681003584229,128.0,0.0,0
162,162,Dartmouth Skiway,New Hampshire,New Hampshire,1943,969,974,0,0.0,0,0,1,0,1,2,4,28.0,1.0,1.1,107.0,54.0,104.0,63.0,100.0,50.0,50.0,105.0,0.0,0
163,163,Gunstock,New Hampshire,New Hampshire,2300,1400,900,0,0.0,0,1,2,2,0,1,6,55.0,4.0,1.5,227.0,176.0,106.0,82.0,120.0,80.0,92.0,120.0530035335689,60.0,0
164,164,King Pine,New Hampshire,New Hampshire,850,350,500,0,0.0,0,0,0,3,0,3,6,17.0,2.0,0.3,48.0,45.0,105.0,57.0,120.0,42.0,58.0,107.0,23.0,0
166,166,Mount Sunapee,New Hampshire,New Hampshire,2743,1510,1233,0,0.0,0,2,1,2,1,4,10,66.0,4.0,0.8,232.0,215.0,130.0,71.0,100.0,83.0,93.0,136.0,0.0,2
167,167,Pats Peak,New Hampshire,New Hampshire,1460,770,690,0,0.0,0,0,0,4,2,5,11,28.0,3.0,1.5,115.0,115.0,109.0,56.0,100.0,58.0,72.0,112.0,93.0,0
169,169,Waterville Valley,New Hampshire,New Hampshire,4004,2020,1984,0,0.0,0,2,0,2,3,4,11,62.0,4.0,1.9,265.0,220.0,142.0,54.0,148.0,79.0,93.0,142.0,0.0,2
